"313","336735239719-29","Kalray SA"
"314","070028236358-54","ASML Netherlands B.V."
"315","030658245107-49","Alcyon Photonics SL"
"316","243961945295-86","SOITEC"
"317","367850645092-18","Nordic Semiconductor ASA"
"318","455458212010-50","European Law Institute"
"319","17888758870-92","British Council"
"320","92221016212-42","European Construction Industry Federation"
"321","57745478360-42","EUROPEAN FEDERATION OF BUILDING AND WOODWORKERS"
"322","226354616978-90","Vanguard Asset Management Limited"
"323","03094871618-32","UniCredit"
"324","166451434234-47","FEDERATION FRANCAISE DE LA PARFUMERIE SELECTIVE"
"325","614220318268-60","EU-ASEAN Business Council"
"326","93288301615-56","EBU-UER (European Broadcasting Union)"
"327","464201240893-11","Europa Nostra"
"328","37943526882-24","Finance Watch"
"329","713799141894-77","European Associations of Fish Processors and European Federation of National Organisations of Fish Importers and Exporters"
"330","24633926420-79","European Federation of Investors and Financial Services Users"
"331","421495541254-57","European Solar Manufacturing Council"
"332","835967332819-32","SSAB AB"
"333","194094423131-36","ZF Friedrichshafen AG"
"334","35147251117-11","Crédit Agricole S.A."
"335","7721359944-96","IBM Corporation"
"336","78787381113-69","BNP PARIBAS"
"337","16094042309-21","LVMH Publica"
"338","03181945560-59","Google"
"339","571994418695-46","European Marine Board"
"340","10257354120-19","Neste Oyj"
"341","873508417106-05","ASD-Eurospace"
"342","207783440380-27","Shearwater Global"
"343","53916638834-05","Groupe ADP"
"344","759326517587-51","King Baudouin Foundation"
"345","43871558497-67","Global Business Travel Association"
"346","64031768679-71","daa plc"
"347","382239613871-43","European Company Lawyers Association"
"348","575334944797-29","Interprofesional Citrícola Española (INTERCITRUS)"
"349","58290033126-06","Rolls-Royce plc"
"350","986044541551-20","Stellantis"
"351","514240237898-38","European FinTech Association"
"352","0878397912-17","European Peacebuilding Liaison Office"
"353","477543424417-73","Italgas"
"354","54829912208-85","European Federation of Local and Regional Energy Companies"
"355","00098856602-24","GEODE - The voice of local energy distributors across Europe"
"356","17909506129-41","EUROGAS aisbl"
"357","852622937459-14","Wizz Air Group"
"358","589119426749-76","Polish Air Navigation Services Agency"
"359","291219715847-52","easyJet"
"360","843071031814-24","Leibniz Institute for Financial Research SAFE"
"361","768082137817-95","Sozialkassen der deutschen Bauwirtschaft"
"362","596796520126-28","Steptoe & Johnson LLP"
"363","965428625484-18","Open Fiber"
"364","41108238259-40","Arbeitsgemeinschaft deutscher Verkehrsflughäfen"
"365","9825553393-31","Friends of the Earth Europe"
"366","923424020779-19","Rasmussen Global"
"367","281756113325-24","Istituto Nazionale di Fisica Nucleare"
"368","287174143153-09","The Ad Hoc Partnership Limited"
"369","960532323803-62","Swedbank AB (publ)"
"370","936796623531-41","Royal Institute of International Affairs"
"371","315413023794-18","Madelin Innovation"
"372","071476117686-50","Institut für Weltwirtschaft"
"373","852523338633-03","Coalition for Epidemic Preparedness Innovations"
"374","538958337111-82","SYSTEMIQ LIMITED"
